"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q8","Q10","Q18","Q19","Q20","Q21"
"78","Center","male","18-24",0,1,-2,1,-1,-1,"1",-2,1,2,-2
"79","Tel Aviv","female","25-34",0,2,NA,-1,2,2,"2",-2,-2,NA,2
"80","Haifa","male","25-34",1,2,-2,2,2,1,"2",2,-2,-2,2
"81","Haifa","female","25-34",0,1,-1,1,1,-1,"2",1,-1,-2,1
"82","Judea and Samaria","female","25-34",-2,2,-2,1,-2,2,"2",2,2,-2,2
"83","South","female","25-34",0,NA,-1,NA,2,1,"1",1,-1,-1,1
"84","Jerusalem","female","25-34",1,1,-1,-2,2,2,"2",1,2,-1,1
"85","Tel Aviv","male","25-34",-1,1,-2,-1,-1,-2,"2",-1,-2,-2,-2
"86","Judea and Samaria","female","25-34",0,2,-2,-2,-2,-2,"2",2,-1,-2,2
"87","Jerusalem","female","25-34",-1,2,-2,1,-1,2,"2",-2,2,-2,-1
"88","Center","female","25-34",-2,-2,-1,-1,-1,2,"2",-1,NA,-1,1
"89","North","female","25-34",-2,1,-2,-2,-1,2,"2",2,1,-2,2
"90","Center","female","25-34",-1,0,-2,1,-1,2,"2",1,-1,-2,2
"91","Center","female","25-34",1,1,NA,-1,-1,2,"2",-2,-1,-1,1
"92","Jerusalem","male","25-34",0,2,-2,NA,-2,2,"2",2,2,-2,2
"93","Jerusalem","female","25-34",0,2,-2,1,2,1,"2",-2,-2,-2,2
"94","South","male","25-34",2,2,-1,2,2,-1,"2",-2,-1,-2,2
"95","South","male","25-34",1,2,-2,1,2,-2,"0",2,2,-2,2
"96","Tel Aviv","male","25-34",2,2,-1,-1,-2,2,"2",-2,-2,-2,-2
"97","North","male","25-34",-1,0,-1,2,NA,1,"2",-1,NA,NA,1
"98","Jerusalem","female","25-34",-1,1,-1,-1,1,-1,"0",-2,-2,-1,1
"99","North","female","25-34",2,2,1,2,2,2,"2",1,1,-2,-1
"100","North","female","25-34",1,0,-1,1,1,-1,"2",-2,-1,-2,NA
"101","Center","female","25-34",0,2,1,2,2,2,"0",1,2,-1,1
"102","North","female","25-34",0,2,-2,-1,1,-2,"2",-1,-2,1,2
"103","Jerusalem","female","25-34",1,1,1,1,2,-1,"2",1,-1,-2,2
"104","South","male","25-34",0,1,1,1,2,-2,"2",2,-2,-2,1
"105","Center","female","25-34",0,0,-1,2,2,2,"2",2,1,-2,2
"106","South","male","25-34",1,2,1,2,2,2,"2",2,2,-2,1
"107","North","male","25-34",0,1,-1,1,2,-1,"2",-1,-2,-1,1
"108","North","male","25-34",1,0,1,2,1,-1,"2",-1,-1,-2,2
"109","South","male","25-34",1,1,-1,2,2,-1,"2",-2,-2,-2,-1
"110","Judea and Samaria","female","25-34",1,1,-1,1,1,-1,"1",-2,-1,-1,-1
"111","Center","female","25-34",2,1,1,NA,2,2,"2",2,-2,-2,2
"112","Haifa","male","25-34",1,1,1,2,2,-1,"0",-1,-2,1,-1
"113","Center","female","25-34",-2,1,-1,1,1,-2,"1",-1,2,1,1
"114","North","male","25-34",0,0,-1,-1,2,2,"1",2,1,-2,2
"115","Haifa","female","25-34",1,1,-1,-1,2,1,"0",-2,-1,-2,2
"116","Center","female","25-34",2,2,2,2,2,1,"2",2,-2,-2,2
"117","Center","female","25-34",-2,2,-2,-2,2,1,"2",NA,-1,-2,-1
"118","South","female","25-34",-1,2,-1,1,2,2,"2",1,-1,-2,2
"119","South","female","25-34",1,1,-1,1,2,2,"2",-1,-2,-2,1
