"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q8","Q10","Q18","Q19","Q20","Q21"
"337","Center","female","35-44",-1,1,-1,1,-1,-1,"1",-2,-2,1,-2
"338","Center","male","35-44",2,2,1,-1,2,1,"1",1,-1,-1,1
"339","Center","male","35-44",0,1,-2,2,2,-1,"0",-1,1,-2,2
"340","Jerusalem","male","35-44",0,1,-1,2,2,-1,"1",-1,-2,2,1
"341","Center","female","35-44",0,1,-2,1,2,-1,"0",NA,-2,-1,NA
"342","Center","male","35-44",1,1,-1,-2,1,1,"2",2,-2,-2,2
"343","South","female","35-44",0,1,-2,-2,-1,NA,"NA",1,NA,-1,-1
"344","Center","male","35-44",NA,1,-1,2,2,1,"1",-1,-2,-1,-2
"345","South","female","35-44",0,1,-1,1,2,2,"0",1,-2,-2,-1
"346","North","female","35-44",-1,1,-1,1,2,1,"2",-1,1,-2,1
"347","North","female","35-44",0,1,1,2,2,1,"1",2,1,2,-2
"348","South","female","35-44",-2,0,-2,1,-2,-2,"1",-2,-1,2,-2
"349","North","female","35-44",1,2,1,2,2,1,"2",1,-2,-2,2
"350","North","male","35-44",1,1,1,2,2,1,"1",-1,-2,-1,-2
"351","South","male","35-44",-1,1,-2,-1,-1,-2,"1",-2,-2,1,-2
"352","North","female","35-44",NA,NA,-1,-1,-2,-1,"1",1,-2,2,-2
"353","North","male","35-44",0,2,-2,2,2,1,"2",-2,-2,-2,2
"354","Center","female","35-44",-1,1,-2,1,-2,-2,"1",-2,1,NA,1
"355","Tel Aviv","male","35-44",1,1,1,1,NA,NA,"-1",-2,-2,-2,-2
"356","Tel Aviv","male","35-44",2,2,-1,2,2,-2,"1",-2,-2,-2,-1
"357","Center","female","35-44",1,1,-1,2,2,1,"1",-2,1,1,-2
"358","South","male","35-44",-2,-2,-2,1,-1,2,"2",-2,NA,-2,2
"359","Judea and Samaria","female","35-44",1,1,-1,-1,1,2,"2",2,-2,-2,2
"360","Tel Aviv","male","35-44",0,0,-1,2,2,1,"1",-2,-2,-1,-1
"361","Center","female","35-44",0,2,-1,1,1,-1,"1",-1,-1,-1,-1
"362","South","male","35-44",2,1,1,2,2,2,"0",2,2,-2,-1
"363","Haifa","female","35-44",1,2,-1,2,-1,-2,"1",-2,-2,2,-2
"364","South","female","35-44",1,1,-1,1,1,1,"1",1,-2,-1,1
"365","North","female","35-44",1,2,-1,-1,2,2,"2",2,-1,-2,2
"366","Haifa","female","35-44",1,2,1,2,2,2,"2",2,-1,-2,2
"367","Center","female","35-44",1,1,-1,2,2,-1,"0",-2,-2,-2,2
"368","Center","male","35-44",-1,1,-2,-2,-1,-2,"1",-2,-1,-1,-2
"369","Center","female","35-44",1,1,-2,-1,2,NA,"1",-1,1,1,-1
"370","Center","female","35-44",1,1,-1,2,2,1,"2",1,-1,-2,2
"371","Tel Aviv","male","35-44",2,2,1,2,2,1,"2",2,1,1,-1
"372","Center","female","35-44",0,0,-1,1,1,-1,"1",-1,-1,-1,1
"373","Jerusalem","female","45-54",2,2,-1,2,2,2,"2",-2,-2,-2,2
"374","South","female","45-54",-1,1,-1,1,1,1,"2",2,1,1,-1
"375","Jerusalem","female","45-54",0,1,-2,1,1,1,"2",1,1,-1,1
"376","Haifa","female","45-54",0,0,-1,1,2,2,"2",2,-1,-2,2
"377","Center","female","45-54",-2,1,-2,-1,2,2,"2",1,2,-2,2
"378","Center","male","45-54",1,2,1,2,2,1,"2",1,-2,-2,2
"379","Judea and Samaria","female","45-54",-1,1,-1,2,2,1,"0",2,-2,-1,-2
"380","Center","male","45-54",0,1,-1,2,2,1,"1",-1,-2,-2,2
"381","Judea and Samaria","female","45-54",2,1,-1,-1,2,2,"2",-1,-1,-2,-1
"382","Tel Aviv","female","45-54",1,1,-1,1,2,-1,"2",2,-2,-2,2
"383","Jerusalem","female","45-54",1,2,-2,1,2,-1,"2",1,-1,-2,2
"384","Center","male","45-54",-2,0,-2,2,2,2,"2",2,1,-2,2
"385","South","female","45-54",0,1,-2,1,2,2,"2",NA,1,-1,2
"386","Center","male","45-54",1,1,1,1,2,1,"2",2,1,-2,1
"387","Center","female","45-54",-1,1,-1,NA,2,2,"0",NA,NA,-2,2
"388","Center","female","45-54",1,1,-1,1,1,1,"0",-1,-2,-2,1
"389","Center","male","45-54",-2,-1,-2,-2,2,2,"2",-2,-1,-2,2
"390","Center","male","45-54",0,1,-1,1,2,1,"0",-1,-1,-1,-1
"391","South","male","45-54",0,1,1,1,2,2,"2",-1,-1,2,2
"392","Judea and Samaria","female","45-54",-2,0,-2,-2,-2,2,"2",-2,2,-1,-1
"393","Tel Aviv","female","45-54",0,NA,-1,2,2,NA,"0",NA,-2,-2,2
"394","Center","female","45-54",0,1,2,2,2,1,"1",2,-2,1,1
"395","Jerusalem","female","45-54",0,0,-2,2,-1,1,"0",-1,-1,1,-1
"396","South","female","45-54",1,1,-1,1,2,-2,"2",2,-2,-2,2
"397","North","female","45-54",1,1,1,1,2,2,"2",1,-2,-2,-1
"398","South","male","45-54",1,1,1,2,2,2,"0",1,-2,-2,-2
"399","South","female","45-54",1,1,-2,2,2,2,"0",1,1,-2,2
"400","Center","male","45-54",2,0,-2,-2,2,2,"1",2,-2,-2,2
"401","North","female","45-54",0,0,-1,1,2,2,"2",-1,-2,-2,-1
"402","Center","female","45-54",0,1,-1,-1,2,-2,"2",2,-2,-2,-2
"403","Haifa","female","45-54",-1,0,-2,1,-1,-1,"1",1,-2,-2,1
"404","Center","female","45-54",-1,1,NA,-2,-1,1,"2",1,-2,-1,-1
"405","South","female","45-54",0,-1,-1,1,2,1,"2",2,1,-2,2
"406","Center","male","45-54",0,1,1,2,2,-2,"0",1,1,1,1
"407","Jerusalem","female","45-54",1,1,-1,1,2,2,"1",2,1,-2,-1
"408","Jerusalem","male","45-54",0,0,NA,2,1,1,"2",-1,-1,-2,2
"409","Jerusalem","male","45-54",2,1,-2,2,2,-1,"2",-1,-2,-2,2
"410","Center","female","45-54",2,2,1,1,2,1,"1",-2,-1,-2,2
"411","Tel Aviv","male","45-54",2,1,1,2,2,2,"2",2,-1,-2,1
"412","Center","male","45-54",1,NA,NA,2,2,-1,"2",-2,-2,-1,1
"413","South","male","45-54",1,0,-2,2,2,-1,"2",NA,NA,-2,2
"414","South","male","45-54",1,2,-1,2,2,2,"2",2,-2,-2,2
"415","Haifa","male","45-54",1,1,-1,2,1,1,"1",-1,-2,-2,-1
"416","Judea and Samaria","male","45-54",1,1,-1,2,2,-1,"2",1,-2,-2,2
"417","Haifa","female","45-54",-1,0,-2,NA,-1,1,"2",NA,1,-2,2
"418","Haifa","male","45-54",-1,0,-2,2,1,1,"2",-2,2,-2,-2
"419","South","male","45-54",-1,0,1,1,2,1,"2",2,1,-2,1
"420","Center","male","45-54",1,0,1,-2,-1,1,"0",1,-1,-1,1
"421","Jerusalem","male","45-54",1,1,-1,1,1,-1,"1",2,-1,-1,2
"422","Jerusalem","female","45-54",-1,1,-2,2,1,-2,"1",-1,-1,-2,2
"423","South","female","45-54",0,1,NA,1,2,2,"0",NA,NA,-2,1
"424","Center","female","45-54",0,2,-1,1,2,-1,"2",1,2,2,1
"425","Center","female","45-54",-1,-1,-1,2,2,2,"0",1,-1,-2,2
"426","Tel Aviv","male","45-54",2,2,2,2,1,2,"0",-1,-2,-2,-1
"427","Tel Aviv","male","45-54",1,0,1,2,2,1,"2",-2,-2,-2,-1
"428","South","male","45-54",2,0,2,2,2,1,"1",1,1,-2,2
"429","Tel Aviv","female","45-54",1,1,1,1,2,2,"2",2,-1,-2,2
"430","Haifa","female","45-54",1,0,NA,1,2,1,"1",2,-2,-2,-2
"431","Jerusalem","female","45-54",NA,1,-1,2,2,-1,"2",2,-2,-2,2
"432","Center","female","45-54",1,1,-1,1,2,2,"0",-1,-2,-1,-2
"433","North","female","45-54",2,2,1,2,2,2,"1",2,1,-1,2
"434","Haifa","female","45-54",1,1,1,1,2,1,"0",-2,1,1,-1
"435","Haifa","female","45-54",0,0,-2,2,2,2,"2",-1,-1,-2,2
"436","Jerusalem","male","45-54",-1,-1,1,NA,2,-2,"1",2,-2,-2,1
"437","Center","female","45-54",-2,0,-1,2,2,-1,"2",-1,-1,NA,1
"438","Tel Aviv","female","45-54",1,2,1,1,2,2,"2",-2,2,-2,2
"439","Center","female","45-54",0,1,1,2,2,2,"1",-1,-1,-1,-1
"440","Center","male","45-54",NA,-1,-2,1,-2,-1,"1",-2,-2,-1,2
"441","Haifa","female","45-54",0,2,-1,2,2,-1,"0",-1,-2,-1,1
"442","Tel Aviv","male","45-54",1,1,1,1,2,2,"2",-2,-2,-2,2
"443","Center","male","45-54",-2,2,-2,1,1,2,"2",-2,2,-1,2
"444","Center","female","45-54",-2,2,-1,2,2,-1,"1",-1,-1,-1,1
"445","Center","female","45-54",0,1,-1,1,2,2,"2",-1,2,-2,-1
"446","Jerusalem","male","45-54",0,NA,-1,2,2,2,"2",2,-1,-1,2
"447","Jerusalem","female","45-54",1,1,1,2,2,1,"0",-1,-2,-2,-2
"448","Center","male","45-54",1,0,-1,1,1,-1,"1",-1,-1,-1,1
"449","Tel Aviv","female","45-54",1,2,NA,2,2,-2,"1",-2,-2,2,-2
"450","Jerusalem","female","45-54",0,1,-1,2,1,2,"1",NA,1,-1,1
"451","North","female","45-54",0,1,-1,1,2,-1,"1",1,-2,-1,1
"452","North","female","45-54",1,1,-2,1,1,2,"2",-1,1,-2,2
"453","Tel Aviv","male","45-54",0,1,-1,1,-1,1,"1",-2,-2,NA,-1
"454","Center","male","45-54",1,1,-1,1,1,-1,"0",-1,-2,1,-2
"455","Haifa","male","45-54",0,0,1,2,2,-1,"1",-2,-1,2,-2
"456","Tel Aviv","female","45-54",2,1,1,1,2,1,"0",2,-1,-2,2
"457","Haifa","male","45-54",1,2,1,2,2,1,"2",1,-2,-1,1
"458","Tel Aviv","male","45-54",1,-1,-2,2,2,-1,"0",2,-2,1,-1
"459","Judea and Samaria","male","45-54",0,-1,-1,2,2,2,"0",1,-1,-2,-2
"460","Tel Aviv","male","45-54",1,1,-1,2,2,1,"1",-1,-2,2,-2
"461","Center","female","45-54",0,0,-1,-2,1,-1,"0",-2,2,-1,-1
"462","North","female","45-54",0,1,-1,1,2,-1,"1",-1,-2,-1,-1
"463","Judea and Samaria","female","45-54",-1,0,-2,1,1,1,"2",-1,-2,1,1
"464","Jerusalem","female","45-54",0,1,-1,1,1,-1,"1",2,-2,-1,-2
"465","Haifa","female","45-54",NA,NA,-2,1,1,2,"0",2,-2,-2,2
"466","Center","female","45-54",1,2,1,1,2,1,"1",2,NA,1,2
"467","Center","female","45-54",1,1,-2,NA,2,-2,"0",2,-1,-2,2
"468","Haifa","male","45-54",1,1,-1,1,2,-1,"1",-2,-1,-1,1
"469","Tel Aviv","female","45-54",-2,1,-2,-2,-2,2,"1",-2,-2,-2,2
"470","Haifa","female","45-54",1,0,NA,2,NA,2,"0",NA,2,-2,NA
"471","Haifa","male","45-54",1,1,1,2,-1,-2,"1",-2,-2,-2,1
"472","Center","female","45-54",0,0,-1,2,2,-1,"1",-2,-2,2,NA
"473","Center","female","45-54",0,1,1,1,2,-1,"0",-1,-1,-1,1
"474","North","female","45-54",-2,-1,-2,1,-2,2,"2",2,1,-2,2
"475","Haifa","male","45-54",1,1,1,2,2,2,"2",-2,-2,-2,1
"476","Tel Aviv","male","45-54",-1,-1,-2,1,2,2,"1",-2,-1,-1,1
"477","Tel Aviv","female","45-54",-1,1,1,2,2,-2,"1",2,NA,-2,2
"478","Tel Aviv","female","45-54",-1,-1,-2,2,2,-1,"0",-2,-2,NA,2
"479","Tel Aviv","male","45-54",1,0,1,2,2,2,"1",2,-2,-2,-1
"480","Haifa","male","45-54",1,1,-1,1,1,-1,"1",-1,1,-1,1
"481","Haifa","female","45-54",0,1,NA,2,2,2,"2",2,-1,-1,1
"482","Haifa","female","45-54",-2,0,-1,2,1,2,"1",1,-2,-2,2
"483","Tel Aviv","male","45-54",0,1,-1,2,2,2,"0",2,1,-2,2
"484","Center","female","45-54",1,1,-2,2,2,-2,"0",-2,-2,2,-2
"485","Tel Aviv","female","45-54",0,1,-2,2,1,-2,"1",-1,-2,2,-2
"486","North","female","45-54",1,1,1,1,2,2,"2",2,-2,-2,2
"487","Haifa","male","45-54",0,0,-1,-1,-1,-1,"1",-2,-2,NA,NA
"488","Tel Aviv","female","45-54",-2,1,-2,-2,-1,-1,"0",-2,-1,-1,-1
"489","Tel Aviv","male","45-54",1,1,1,-1,-1,-1,"1",-2,-2,2,NA
"490","South","male","45-54",0,1,-1,2,2,-2,"1",-2,-2,2,-2
"491","Haifa","female","45-54",0,NA,-2,2,2,-1,"2",-2,1,-1,-1
"492","Tel Aviv","female","45-54",0,1,1,1,1,-1,"1",1,-2,-1,1
"493","Tel Aviv","male","45-54",-1,-2,-2,NA,-1,2,"2",-2,2,-2,-2
"494","Center","female","45-54",0,0,1,-2,2,1,"1",NA,NA,NA,NA
"495","Haifa","male","45-54",1,0,-1,1,2,-1,"0",-2,1,NA,-1
"496","Tel Aviv","male","45-54",2,1,2,2,2,2,"0",2,-1,-2,-1
"497","Haifa","female","45-54",1,2,1,2,2,2,"0",2,1,-2,-1
"498","Jerusalem","female","45-54",-1,0,-2,2,2,-1,"1",-2,-1,2,-2
"499","Tel Aviv","male","45-54",0,1,-2,-1,2,2,"0",2,-2,-2,2
"500","North","male","45-54",1,1,1,2,2,1,"0",1,-1,-1,-1
"501","South","male","45-54",1,0,-1,1,2,-1,"1",-2,-1,-2,1
"502","Tel Aviv","male","45-54",2,1,1,1,2,2,"2",NA,-1,-1,1
"503","Tel Aviv","female","45-54",1,1,1,2,2,NA,"1",1,NA,1,-1
"504","Tel Aviv","male","45-54",-1,0,-2,2,-2,1,"0",-2,-2,-1,1
"505","Tel Aviv","female","45-54",0,1,-1,1,2,-2,"1",-2,1,NA,NA
"506","South","male","45-54",2,2,1,1,2,-2,"0",-2,2,-2,-2
"507","South","female","45-54",-1,0,-1,2,2,1,"1",-2,-1,1,-2
"508","Center","female","45-54",0,0,1,NA,2,1,"NA",1,1,-2,NA
"509","Jerusalem","male","45-54",0,2,-2,1,1,-2,"1",-2,-1,2,-2
"510","Tel Aviv","female","45-54",1,2,1,NA,2,2,"2",-2,-2,-2,2
"511","Tel Aviv","female","55-64",0,2,-2,2,2,-1,"2",2,-2,-2,2
"512","Judea and Samaria","male","55-64",0,1,-1,1,NA,-1,"2",-2,1,-1,-1
"513","South","female","55-64",0,0,-1,1,2,2,"2",-2,2,-2,2
"514","South","male","55-64",2,2,1,2,2,NA,"0",1,NA,-2,2
"515","South","female","55-64",2,2,1,2,2,-1,"2",2,-2,-2,2
"516","Center","female","55-64",1,2,-1,2,2,-1,"2",2,-1,-1,1
"517","South","male","55-64",1,2,-1,2,2,-1,"2",1,-1,-1,-2
"518","Jerusalem","male","55-64",2,1,1,1,2,2,"2",1,-1,-2,2
"519","Haifa","female","55-64",0,1,-1,2,1,2,"2",2,-1,-2,1
"520","South","female","55-64",0,0,-1,-1,-1,1,"1",-2,2,1,-1
"521","Tel Aviv","female","55-64",1,0,-1,1,2,2,"2",-2,-2,-2,2
"522","Haifa","female","55-64",0,1,-1,2,1,2,"2",1,1,-2,2
"523","South","female","55-64",0,0,-1,-2,2,NA,"2",-1,-1,-2,-1
"524","Jerusalem","female","55-64",1,2,-1,2,2,-1,"0",-2,-1,-2,2
"525","Jerusalem","male","55-64",2,1,1,2,2,1,"2",-2,1,-2,2
"526","Jerusalem","female","55-64",0,-2,1,2,2,2,"2",-1,NA,-2,2
"527","North","female","55-64",NA,1,1,-1,2,-1,"2",2,-1,-1,-1
"528","Jerusalem","female","55-64",0,0,-1,-1,1,2,"2",1,1,-2,NA
"529","Tel Aviv","female","55-64",1,0,-1,1,2,1,"2",-2,2,-2,2
"530","Haifa","male","55-64",2,2,2,1,2,2,"0",-2,2,-2,-2
"531","North","female","55-64",0,0,-2,-1,2,2,"2",2,2,-2,2
"532","Haifa","female","55-64",0,-1,1,2,2,2,"2",2,-2,-2,2
"533","Jerusalem","female","55-64",0,-2,1,1,2,2,"2",-1,2,-1,1
"534","Center","male","55-64",0,0,1,1,2,1,"0",2,-2,-2,2
"535","South","female","55-64",0,0,-2,2,2,-2,"0",2,-1,1,-2
"536","Tel Aviv","male","55-64",0,2,NA,-1,2,2,"2",-1,-1,-2,2
"537","Haifa","female","55-64",0,2,-2,2,-1,-2,"1",-2,-2,2,-2
"538","Tel Aviv","female","55-64",1,1,1,2,2,2,"2",1,-1,-1,2
"539","Haifa","female","55-64",-1,1,-1,-2,1,2,"2",1,-1,-2,2
"540","Center","female","55-64",2,1,1,2,2,NA,"2",2,-2,-2,2
"541","North","male","55-64",1,1,-1,1,2,-1,"2",1,-2,2,2
"542","Tel Aviv","female","55-64",0,1,-1,1,2,1,"2",2,-2,-2,2
"543","Tel Aviv","male","55-64",0,NA,NA,2,2,-2,"1",-2,-1,2,-2
"544","Tel Aviv","male","55-64",1,1,1,2,2,2,"1",-2,-2,-2,2
"545","Tel Aviv","female","55-64",1,1,1,2,2,-1,"0",-1,-2,-2,-1
"546","Haifa","female","55-64",0,1,-1,2,1,-1,"1",2,-2,-2,1
"547","Tel Aviv","male","55-64",0,NA,1,1,2,2,"0",-2,-2,-1,-2
"548","North","female","55-64",1,1,-1,1,2,1,"1",1,-2,-2,1
"549","Tel Aviv","female","55-64",1,0,-2,2,2,1,"0",2,1,-2,1
"550","Center","male","55-64",1,1,1,2,2,2,"0",-2,-2,-2,1
"551","Tel Aviv","female","55-64",-1,-1,-2,2,-1,2,"1",NA,1,2,1
"552","Center","male","55-64",0,1,-2,2,1,-1,"0",1,-2,-1,1
"553","North","female","55-64",0,1,-1,2,2,2,"1",2,-1,-1,-2
"554","Center","female","55-64",1,1,-1,1,2,2,"0",2,-1,-2,2
"555","Center","male","55-64",0,2,1,1,2,-1,"0",-1,-2,-2,1
"556","South","male","55-64",-1,0,-1,1,1,-1,"0",-2,-1,1,-1
"557","Jerusalem","male","55-64",1,2,1,2,2,-1,"1",2,-2,-2,-1
"558","Tel Aviv","male","55-64",1,1,-1,2,2,1,"0",-2,-2,-2,2
"559","North","female","55-64",-1,0,-2,1,2,2,"1",-2,2,-2,2
"560","Center","female","55-64",0,1,-1,2,2,1,"0",-1,NA,-2,2
"561","North","female","55-64",0,0,-2,2,2,2,"2",2,-2,-2,2
"562","Center","female","55-64",-1,1,-1,1,2,-2,"0",-1,-1,1,-2
"563","Haifa","female","55-64",0,1,-1,1,2,-1,"0",-1,-1,-2,1
"564","Center","male","55-64",1,1,-1,1,NA,1,"1",-1,1,1,-1
"565","South","female","55-64",0,0,1,1,-1,-1,"0",1,1,-1,-1
"566","Jerusalem","male","55-64",0,2,-2,2,2,-2,"0",-2,-1,-1,-1
"567","North","female","55-64",0,1,1,1,2,1,"1",NA,-1,-1,2
"568","Tel Aviv","female","55-64",0,2,-2,1,2,-2,"1",-2,-2,1,-1
"569","Jerusalem","male","55-64",0,0,-2,2,2,1,"1",-2,-2,2,-2
"570","Tel Aviv","male","55-64",-2,-2,-2,NA,NA,-1,"1",2,-1,-2,2
"571","North","male","55-64",1,1,-2,2,2,2,"1",-2,-2,-2,2
"572","Center","male","55-64",1,1,-1,2,2,-2,"1",-2,-2,-1,-1
"573","Tel Aviv","female","55-64",2,1,2,2,2,1,"2",-2,-2,-2,-1
"574","Center","male","55-64",1,1,1,1,1,2,"0",2,-1,-2,-1
"575","North","male","55-64",0,1,1,1,1,-1,"0",-1,-1,1,-1
"576","Tel Aviv","female","55-64",0,1,-2,2,1,-1,"1",2,-2,-2,2
"577","Judea and Samaria","female","55-64",1,1,-1,2,2,-1,"0",-2,-2,-2,2
"578","South","male","55-64",0,0,-1,1,1,2,"0",-2,-2,-2,2
"579","Jerusalem","female","55-64",-1,1,-2,-1,-1,1,"2",1,NA,-1,1
"580","Haifa","male","55-64",-1,1,-1,1,1,2,"1",-2,-2,-1,1
"581","Tel Aviv","female","55-64",0,1,-2,2,-1,-2,"1",-2,-2,2,-2
"582","Tel Aviv","female","55-64",0,1,1,1,1,NA,"0",NA,NA,NA,NA
"583","Center","female","55-64",0,2,-1,2,1,2,"1",1,1,-1,1
"584","Center","female","55-64",1,0,-1,1,1,-1,"1",1,NA,-1,1
"585","Haifa","female","55-64",0,0,-1,1,2,-1,"2",-2,1,-1,1
"586","Center","female","55-64",-2,-2,-2,-1,2,-1,"1",2,-1,-2,-2
"587","North","female","55-64",0,0,-2,NA,2,-1,"1",-2,1,1,-1
"588","Tel Aviv","male","55-64",2,2,-1,-1,2,2,"2",2,-1,-2,1
"589","Tel Aviv","female","55-64",-1,1,-2,2,-1,2,"1",-1,1,1,-2
"590","Tel Aviv","female","55-64",1,NA,-1,1,2,2,"0",-2,1,2,-2
"591","Tel Aviv","male","55-64",0,2,-1,2,2,2,"2",2,-1,-2,2
"592","Jerusalem","female","55-64",0,1,-2,-1,2,-2,"1",-2,-2,-1,-2
"593","Haifa","male","55-64",1,2,-1,2,2,1,"0",1,-1,-2,-1
"594","Haifa","female","55-64",2,2,1,2,2,-1,"1",1,-1,1,-1
"595","Haifa","female","55-64",1,2,-1,1,1,-1,"0",1,-1,-1,1
"596","Haifa","female","55-64",1,1,1,1,1,1,"2",-2,1,-1,1
"597","Center","female","55-64",0,1,-1,2,2,2,"1",-1,-2,-2,1
"598","Haifa","female","55-64",0,0,-1,NA,2,1,"0",-1,NA,-2,1
"599","Tel Aviv","female","55-64",-2,1,-2,1,1,-2,"1",1,-2,-1,1
"600","Haifa","male","55-64",1,1,1,1,2,-1,"1",1,-2,2,-2
"601","Haifa","male","55-64",-2,0,-2,-2,-2,1,"1",2,-1,-2,-1
"602","North","male","55-64",-2,1,-2,NA,1,-1,"1",-2,-2,2,-2
"603","Haifa","male","55-64",1,1,1,1,2,-2,"1",-2,-2,-2,2
"604","North","male","55-64",1,1,1,2,2,-1,"1",-1,1,-2,-1
"605","South","female","55-64",-1,1,-2,-1,2,-2,"1",-2,-2,2,-2
"606","Haifa","male","55-64",1,2,-1,-2,-1,-2,"1",-2,-2,-2,-2
"607","Center","male","55-64",2,2,2,2,2,-1,"2",-2,1,-2,2
"608","Haifa","female","55-64",1,1,NA,1,2,2,"2",2,-2,-2,2
"609","Center","female","55-64",0,-1,-1,2,2,1,"0",-1,-2,-2,2
"610","Tel Aviv","male","55-64",1,1,-1,2,1,-1,"1",-2,-2,2,-2
"611","Tel Aviv","female","55-64",0,1,-2,1,-1,-2,"1",-1,-2,1,-1
"612","Haifa","female","55-64",2,2,NA,2,2,2,"2",-2,-2,-2,2
"613","Haifa","female","55-64",-1,0,-1,-1,-1,1,"1",1,-1,-1,1
"614","North","female","55-64",0,0,-2,2,2,2,"2",2,-1,-1,1
"615","Haifa","male","55-64",-2,2,-2,-2,-2,-2,"1",-2,2,2,-2
"616","Jerusalem","male","65+",NA,NA,-2,NA,NA,2,"2",-2,1,-2,2
"617","Tel Aviv","female","65+",0,1,1,1,2,-1,"2",-2,NA,-2,1
"618","Tel Aviv","female","65+",1,2,-1,2,1,2,"2",-2,-2,-2,2
"619","Tel Aviv","female","65+",-1,-1,1,2,2,2,"1",2,-2,-2,2
"620","Center","male","65+",0,-2,-2,-2,2,2,"1",-2,-2,-2,2
"621","Center","female","65+",0,-1,-2,2,-1,2,"2",2,-2,-2,2
"622","Tel Aviv","male","65+",2,2,2,2,2,2,"2",2,-2,-2,2
"623","Jerusalem","female","65+",2,1,1,1,2,2,"2",2,2,-2,2
"624","South","female","65+",0,0,-1,-1,1,-1,"1",2,-2,NA,NA
"625","South","female","65+",0,1,1,2,2,NA,"2",2,-1,-2,2
"626","Tel Aviv","female","65+",0,1,-1,2,2,2,"2",-2,2,-1,1
"627","Tel Aviv","female","65+",-2,0,-2,2,2,-2,"2",-2,-2,-1,2
"628","Jerusalem","female","65+",0,0,-1,-2,2,2,"2",-1,-1,-1,1
"629","Tel Aviv","female","65+",1,-1,-1,1,2,-1,"0",2,1,NA,NA
"630","Center","female","65+",0,0,-1,2,2,1,"2",2,-1,-1,1
"631","Haifa","female","65+",0,0,-1,1,2,2,"2",2,-1,-2,2
"632","Haifa","female","65+",0,0,1,2,2,2,"2",NA,-2,-2,1
"633","Tel Aviv","female","65+",1,-1,1,1,2,NA,"0",NA,-2,-2,-2
"634","Jerusalem","male","65+",1,1,NA,1,2,-1,"1",-1,-1,-1,-2
"635","South","female","65+",-2,2,NA,1,2,2,"2",NA,-1,-2,2
"636","Center","female","65+",0,-1,-1,2,2,2,"1",1,-1,-2,2
"637","North","female","65+",0,0,1,1,2,2,"2",2,-2,-2,2
"638","Jerusalem","male","65+",2,2,NA,2,2,2,"0",2,-1,-2,2
"639","Center","female","65+",2,-1,1,1,2,2,"0",2,1,-2,2
"640","North","female","65+",0,1,1,2,2,2,"2",2,2,-2,2
"641","South","female","65+",1,1,1,1,1,1,"2",-1,-1,-1,1
"642","Tel Aviv","female","65+",0,0,1,1,2,-1,"0",1,-2,-1,1
"643","Tel Aviv","male","65+",NA,2,-1,2,2,1,"0",1,-2,NA,-2
"644","South","male","65+",1,1,2,2,2,2,"0",1,-1,-2,2
"645","Center","female","65+",0,1,1,2,2,1,"1",1,-2,-2,2
"646","Tel Aviv","female","65+",1,1,1,1,2,1,"2",1,-1,-2,1
"647","Tel Aviv","female","65+",1,1,2,2,2,2,"2",-2,1,-2,2
"648","Haifa","female","65+",1,-1,1,2,2,2,"0",-1,-2,2,-2
"649","South","female","65+",0,1,-1,2,-1,-2,"0",-1,-2,-1,NA
"650","Tel Aviv","female","65+",1,1,1,-1,2,1,"2",-2,1,-2,2
"651","Center","male","65+",2,2,2,2,2,2,"0",-2,-2,-2,2
"652","Haifa","female","65+",0,1,-1,1,2,-1,"0",2,-1,NA,NA
"653","Center","male","65+",1,1,1,2,2,2,"2",1,-2,-2,1
"654","North","female","65+",NA,1,NA,2,1,NA,"1",-1,-2,NA,1
"655","Tel Aviv","male","65+",1,1,-1,2,2,1,"1",-1,-1,-2,-2
"656","Tel Aviv","female","65+",1,1,-1,1,2,-1,"1",2,-2,-2,2
"657","Jerusalem","male","65+",2,1,1,2,2,-1,"0",-2,-1,2,-2
"658","Haifa","male","65+",0,1,1,1,2,-1,"2",-2,1,2,-2
"659","Tel Aviv","male","65+",0,1,-1,2,2,1,"2",1,-1,1,-1
"660","South","female","65+",0,1,-1,2,1,-1,"1",-2,-1,-1,NA
"661","Haifa","female","65+",1,1,-2,1,2,-1,"0",2,NA,-1,1
"662","Haifa","female","65+",1,1,-1,2,2,-1,"2",2,-1,-2,2
"663","North","male","65+",0,0,1,1,NA,2,"2",2,-2,-2,2
"664","North","female","65+",-1,1,-2,2,-2,-2,"1",-2,-1,2,-2
"665","North","male","65+",0,1,-1,2,1,-2,"1",-2,-2,-1,-1
"666","Tel Aviv","male","65+",0,2,-2,2,1,-2,"0",-1,-1,-1,1
"667","Tel Aviv","female","65+",0,0,-1,NA,2,-1,"0",-2,-1,2,1
"668","Tel Aviv","male","65+",0,1,1,2,2,-1,"1",NA,-1,NA,1
"669","North","male","65+",-2,-1,-2,2,2,-1,"0",1,-1,1,-1
"670","Center","male","65+",0,1,-2,1,1,2,"2",2,-2,-1,2
"671","Haifa","male","65+",1,1,-1,1,1,2,"2",1,-1,-1,1
"672","North","male","65+",0,1,-1,2,2,1,"0",-2,-2,-2,2
"673","Tel Aviv","male","65+",1,1,1,1,2,-1,"1",1,-2,2,-2
"674","Center","female","65+",0,1,-1,1,2,1,"1",2,-1,-2,1
"675","Haifa","female","65+",0,2,-2,2,2,-2,"1",-2,-2,-2,-1
"676","Center","male","65+",1,1,1,1,2,-1,"0",-1,-1,1,-1
