"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q27_1","Q27_2"
"166","South","female","25-34",0,1,-1,0,-1,0,-1,-2,-1,-2,0,-2,0,-2,1,1,1,NA,-2,-1,-2,0,-2,0,0,0,0
"167","South","male","25-34",0,0,0,1,1,0,-1,-2,-2,-2,-2,1,-1,-2,-1,1,-2,-1,-2,0,-2,-2,-1,-1,0,-1,1
"168","South","male","25-34",-2,0,-1,NA,-1,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,1,-1,0,-1,-2,NA,NA
"169","Tel Aviv","female","25-34",1,1,-1,1,1,0,-2,NA,0,-2,-1,-2,-1,-1,-1,NA,0,NA,0,0,-2,1,-2,-2,-2,NA,-1
"170","Tel Aviv","female","25-34",0,1,-2,1,1,1,-2,-1,1,-2,0,-2,-1,0,1,1,1,1,-2,-2,NA,1,-1,1,NA,0,-1
"171","North","male","25-34",0,1,-1,1,-1,-1,-1,-1,-1,-2,0,0,1,-1,0,1,0,-1,-2,-2,-1,-1,-1,0,-1,-1,-1
"172","Tel Aviv","female","25-34",0,1,-2,0,1,0,-1,-2,-1,-2,-1,-2,-1,-2,-1,NA,0,-1,-2,-2,-2,0,-2,-1,0,-1,0
"173","Center","male","25-34",0,2,-2,-2,1,-1,-2,-2,0,-1,-1,-2,1,-2,-1,0,0,-1,-2,NA,-2,-2,-1,-2,-2,1,1
"174","Jerusalem","male","25-34",1,1,-1,0,0,1,-1,-1,-1,-2,-1,-1,0,-1,0,1,-1,-1,0,-2,-2,0,-2,-1,-2,-1,-1
"175","North","male","25-34",-1,0,-2,1,1,-1,-2,-2,1,-2,-2,-2,-1,-2,-1,0,1,0,-2,-2,-2,-2,1,1,1,0,-2
"176","North","male","25-34",0,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1
"177","Center","female","25-34",0,1,0,0,1,-1,-1,1,0,-1,0,-2,0,-2,-1,0,0,0,-2,-2,-2,-1,0,-2,0,0,-1
"178","North","male","25-34",0,1,-2,-1,1,-1,-1,-2,0,-2,-1,-1,0,-2,-1,NA,-1,0,1,0,-2,-2,-2,-2,0,-1,-1
"179","Center","male","25-34",1,2,-1,0,1,1,-1,-2,-2,-2,-1,-2,1,-2,-1,1,1,1,-2,-2,1,1,-2,1,0,-1,-1
"180","South","female","25-34",1,1,0,1,1,0,-1,1,0,-2,0,-2,-1,-2,-1,0,0,0,-1,0,-2,-1,-1,-1,-1,0,-1
"181","North","female","25-34",-2,0,-2,0,-2,1,-2,1,0,1,1,1,1,-2,1,1,-1,-1,-2,0,-1,-2,1,1,1,-1,1
"182","North","male","25-34",-2,1,-2,0,1,-1,-1,-2,-2,-1,-1,-2,1,-2,0,1,0,0,-2,1,-2,-1,-2,1,-1,-2,0
"183","North","female","25-34",0,1,-2,0,0,-1,-2,1,0,-1,-1,0,0,-1,0,1,0,0,-2,0,-1,-1,-1,1,1,-1,0
"184","Center","female","25-34",0,2,-1,-2,-2,-2,-1,1,0,0,1,1,1,-2,1,1,0,0,-1,0,-1,0,0,1,0,-1,-1
"185","Center","female","25-34",-2,-2,-2,-1,0,0,1,1,0,-1,1,-1,1,NA,1,0,-2,1,-2,1,-1,-2,1,1,1,1,1
"186","Tel Aviv","male","25-34",0,1,-1,1,1,-1,-1,1,-1,-2,-1,-2,0,-2,0,-1,0,0,-1,-1,-2,-1,0,-1,1,0,-1
"187","Center","female","25-34",-2,-1,-2,1,0,0,-2,-2,0,0,0,1,-1,-2,1,1,1,1,-2,0,-1,-1,0,0,1,0,1
"188","Jerusalem","male","25-34",-2,0,-1,-2,-1,-2,-2,0,1,1,1,0,1,-2,1,1,0,0,-2,1,NA,-2,NA,1,1,1,1
"189","Haifa","female","25-34",1,2,-1,0,0,0,-1,0,-2,-2,-1,-2,-1,-1,0,1,-1,-1,-1,-2,-1,-1,0,-1,-2,-1,-1
"190","Tel Aviv","male","25-34",1,2,-2,1,1,-2,NA,1,0,0,1,0,-1,-2,1,-1,0,-2,-2,1,-2,-2,1,0,1,0,-1
"191","South","female","25-34",-1,0,-1,0,-2,-2,-1,0,0,1,0,-1,1,-1,1,1,0,0,-2,-2,-1,-1,-1,-2,-1,0,1
"192","Jerusalem","male","25-34",0,0,0,0,1,1,-1,1,0,0,0,-1,1,-2,0,-1,1,-1,-1,NA,-1,-1,0,-1,0,1,-1
"193","South","female","25-34",1,0,-1,1,1,-1,-1,1,-1,-2,-1,-2,-2,-2,-1,-1,0,0,-1,0,-2,0,-2,-2,0,-1,-1
"194","Tel Aviv","male","25-34",-1,0,-2,1,1,0,-2,-1,0,-2,-2,-2,0,-2,0,NA,-1,-1,-1,-2,0,-1,-2,1,-1,-2,NA
"195","Tel Aviv","female","25-34",0,2,-1,1,-1,0,-2,0,0,-1,0,-1,0,-1,0,0,0,0,-1,0,-2,NA,0,-2,1,-1,0
"196","Jerusalem","male","25-34",0,1,-2,0,1,0,-2,-1,0,-1,1,-2,0,-1,0,1,0,0,-1,-1,-1,-1,0,0,0,1,1
"197","Tel Aviv","female","25-34",1,1,0,1,1,-1,-1,-2,0,-2,-1,-2,-1,-1,-1,1,0,-1,0,-2,-2,1,-2,1,1,-1,-1
"198","North","male","25-34",1,1,0,0,1,0,-1,1,1,0,1,0,-1,-1,-1,1,1,0,-1,0,-1,-2,1,-1,-2,0,-1
"199","Haifa","male","25-34",2,2,1,1,1,-1,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-1,-1,0,-1,0,-1,-1
"200","Center","male","25-34",1,1,-1,0,1,-2,1,-1,1,-1,0,-2,0,-2,0,NA,0,0,-2,-2,-2,-2,0,0,0,0,-1
"201","North","male","25-34",0,1,-2,0,-1,-2,-1,-2,0,-1,0,-1,0,-1,1,0,0,0,-2,-2,-1,1,-2,-2,1,0,1
"202","Tel Aviv","male","35-44",0,0,-2,1,1,1,NA,1,1,-1,1,-2,-1,-1,0,1,-1,-1,-2,0,-1,-2,-2,1,-1,0,-1
"203","North","male","35-44",1,1,NA,1,1,-2,NA,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-2,1,1,-2,1,1,NA,-1,-1
"204","Haifa","female","35-44",0,1,-2,0,-2,0,-1,-1,1,1,0,1,1,0,1,0,0,1,-1,-2,1,-2,1,-1,-1,0,-1
"205","Tel Aviv","female","35-44",-2,1,-2,NA,NA,-1,-1,1,1,1,0,1,1,NA,1,1,1,1,1,1,1,-2,1,1,1,0,1
"206","South","female","35-44",-1,0,-2,-1,0,-1,0,1,-1,NA,0,-1,0,0,0,-1,-2,1,-2,1,-1,-2,1,-2,-1,NA,-1
"207","South","female","35-44",-1,1,-2,0,0,0,-2,1,1,0,0,-1,0,-1,0,-1,-1,0,0,1,-2,-2,0,-1,0,0,-1
"208","North","female","35-44",-2,2,-2,-2,-1,1,1,1,0,1,-1,-1,1,0,1,-2,-1,1,-2,NA,1,-1,-1,-1,-2,-2,1
"209","Jerusalem","female","35-44",-2,2,-2,-2,-2,-2,-2,-1,1,1,0,NA,1,1,1,0,0,1,-2,-1,0,-2,1,1,1,1,-1
"210","North","female","35-44",0,0,-2,1,1,-1,-1,1,1,1,-1,-1,-1,-1,0,0,0,0,-2,0,1,-2,0,0,1,NA,-1
"211","Center","female","35-44",-1,2,-2,-1,-2,-1,-1,1,1,1,0,1,0,0,1,-1,-1,1,-1,0,1,-2,1,0,1,-1,-2
"212","Tel Aviv","female","35-44",-1,1,-1,-1,-2,-1,-2,1,1,0,0,-1,1,-1,1,-1,-1,-1,-1,0,-1,-2,0,-1,1,-1,-2
"213","Haifa","female","35-44",0,1,-1,NA,1,0,-1,1,1,0,0,0,0,-1,0,-1,0,0,-2,1,0,-2,1,-1,1,-1,0
"214","North","female","35-44",-2,2,-2,1,1,-2,-2,NA,1,0,0,NA,1,-2,1,-1,0,1,-2,-2,-1,-2,-1,-1,0,-2,-1
"215","Jerusalem","male","35-44",0,2,-2,0,0,0,-2,NA,1,1,0,-1,-1,-2,0,0,-1,1,-2,1,0,-2,1,-2,1,NA,NA
"216","Jerusalem","female","35-44",1,1,0,0,-1,-1,-1,1,0,1,-1,0,0,-1,0,-1,-1,0,NA,-1,0,-1,NA,-1,-1,-1,-1
"217","Center","female","35-44",0,1,-1,0,0,-1,-1,-2,0,-2,-1,-1,0,-1,0,0,0,0,-1,-2,-2,0,-1,0,-2,-1,-1
"218","Center","male","35-44",2,1,1,1,1,1,0,1,0,0,0,0,0,-2,-1,-2,1,1,0,0,-1,-2,1,-2,0,-1,1
"219","South","male","35-44",0,1,-2,-1,0,1,-2,-2,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,-2,1,-2,0,0
"220","North","female","35-44",1,0,0,0,1,0,-2,1,1,-1,-1,-1,-2,-2,-1,-2,-1,-2,-1,1,-1,-2,-1,-1,0,-2,-2
"221","North","female","35-44",2,2,-2,-2,1,-2,-1,1,0,0,-2,NA,1,-1,1,-2,1,1,-2,-2,-1,-2,0,0,1,-1,1
"222","Tel Aviv","female","35-44",2,2,-2,0,1,-1,-2,1,1,0,0,1,0,-1,0,NA,-1,0,-2,1,0,-2,1,-2,0,NA,NA
"223","North","female","35-44",0,0,-2,0,1,0,0,-1,0,-2,-1,-2,1,-2,1,0,1,1,-2,-1,-1,-2,1,-1,1,-1,0
"224","Jerusalem","female","35-44",1,1,0,1,1,1,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,1,-2,-1,0,-1,-2,-1,-1
"225","Center","female","35-44",1,1,-1,1,1,-1,-1,1,0,0,-1,NA,-1,-2,0,-1,1,0,-1,0,-1,-2,0,-1,-1,0,-1
"226","North","female","35-44",2,1,0,1,1,0,-1,1,1,-2,-1,-2,-1,-2,-1,-1,0,-1,-1,1,-2,-2,-1,-1,-2,0,-1
"227","Center","female","35-44",1,2,0,0,1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,-1,0,0,0,0,-1,0,-1,-1,0,-1
"228","South","male","35-44",2,1,0,1,1,0,-2,1,0,-2,-1,-2,-1,-2,-1,-1,0,-1,-1,1,-2,-1,0,-1,-1,-1,-1
"229","Center","female","35-44",1,1,0,1,1,0,-2,0,1,0,1,1,-2,-2,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,1,1
"230","Center","female","35-44",0,1,-1,-1,0,0,0,-1,0,-2,-1,-2,-1,-1,0,-1,-1,NA,0,0,1,-1,0,0,0,0,0
"231","South","female","35-44",1,0,-1,1,1,NA,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,-2,1,-2,-2,1,1,0,NA,-2
"232","Judea and Samaria","male","35-44",0,1,-1,0,0,-1,-1,NA,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-2,-1,0,-1,-1,-1,-1
"233","North","female","35-44",0,1,NA,1,1,-1,-1,0,0,-1,-1,-1,0,-2,0,0,0,0,0,-1,-1,-2,0,1,-2,-1,1
"234","Tel Aviv","male","35-44",1,0,-1,-1,1,1,-1,-1,0,-2,0,-2,0,-1,0,0,0,0,-2,0,-1,-1,0,-1,0,0,0
"235","South","male","35-44",-2,-2,0,1,1,-2,-2,1,1,1,1,1,0,0,0,1,1,1,-2,-1,-2,0,1,-1,-2,0,0
"236","Tel Aviv","female","35-44",1,0,-1,0,1,-1,-1,-1,-1,-1,-2,-2,0,-2,0,0,0,0,-1,1,-1,-1,0,0,-1,-1,-1
"237","Tel Aviv","female","35-44",0,1,-1,1,1,-1,-1,1,0,-1,0,-2,0,-1,0,0,0,0,-1,1,-2,-2,1,0,-1,-1,1
"238","Judea and Samaria","female","35-44",0,1,-1,1,1,0,-1,1,0,-1,-1,-1,0,-1,0,NA,1,0,-1,-2,-2,-1,0,-1,-1,0,-1
"239","North","female","35-44",1,1,-1,0,0,-1,0,-1,1,-2,-1,-1,-1,-1,0,0,0,0,-1,-1,-2,-2,0,-2,0,-1,0
"240","Center","female","35-44",1,1,0,1,1,0,-1,1,0,-2,-1,-2,-1,-2,-1,0,0,0,-1,0,-2,-2,-2,-1,-2,-1,-1
"241","North","female","35-44",0,1,-2,-2,0,-2,-2,1,0,0,-1,1,1,-1,1,1,-2,0,1,1,0,-2,1,0,-2,0,1
"242","Center","female","35-44",1,1,0,0,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,1,-1,-2,0,-2,-1,-1,-1,-1,1
"243","Jerusalem","male","35-44",-2,-1,-2,-2,1,-2,-2,0,1,1,1,1,1,1,1,1,1,1,-2,0,-1,NA,NA,NA,-1,1,1
"244","South","female","35-44",0,1,-1,1,1,0,-2,-2,0,-2,-1,-2,0,-2,0,NA,1,NA,-2,NA,NA,NA,0,0,-2,-2,0
"245","Jerusalem","female","35-44",1,1,-2,1,1,1,1,0,1,-1,0,-1,-1,-2,0,1,1,0,0,NA,-2,-1,0,-1,-2,-1,0
"246","Jerusalem","female","35-44",1,1,-1,0,1,1,-2,1,0,0,0,-1,0,-2,0,0,1,1,-2,1,-2,-2,1,-2,1,0,1
"247","Center","male","35-44",2,2,0,1,1,1,0,0,0,-2,-2,-1,-1,-2,-1,1,1,1,-2,-2,-2,-1,-2,-2,-1,-2,1
"248","Jerusalem","female","35-44",1,1,-1,-2,1,-1,-2,0,1,0,0,-1,1,-2,1,-1,-1,NA,-2,1,-1,-1,-2,-1,0,-1,-1
"249","North","female","35-44",1,1,0,1,1,0,-1,1,0,-2,-1,-2,-1,-2,-1,-1,0,-1,-1,0,-2,-2,0,-1,-1,0,-1
"250","Center","male","35-44",1,0,0,-1,1,-1,-1,-2,0,-1,1,0,-2,-2,0,-2,0,0,1,0,-1,-2,1,-1,0,1,-1
"251","Center","female","35-44",0,1,-1,1,0,-1,-1,1,0,-1,-2,-2,0,-2,0,NA,NA,NA,0,-2,-2,-2,1,-2,1,-1,-1
"252","Center","male","35-44",2,1,0,1,1,0,-1,1,0,-2,-1,-2,-1,-2,-1,-1,-1,-1,0,-1,-2,-2,-2,-1,-1,0,-1
"253","Tel Aviv","female","35-44",1,0,0,1,1,1,-1,-1,0,-2,-1,-2,0,-2,-1,0,0,0,-2,1,0,-2,-2,1,1,-1,0
"254","North","male","35-44",1,1,0,1,1,0,-1,1,0,-1,-1,1,-1,-2,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,-1,-1
"255","Center","female","35-44",2,2,0,1,1,-1,-1,-2,0,-1,-1,-1,-1,-2,-1,0,-1,-1,0,1,-2,-2,1,0,-2,-1,0
"256","South","male","35-44",2,2,-1,-2,1,-2,0,1,0,-1,-1,-1,-1,-2,0,-1,1,1,0,1,-2,-2,1,-2,1,-2,-2
"257","South","male","35-44",2,2,0,1,1,1,1,1,0,-1,-1,-1,0,-2,-1,-1,0,0,-2,1,1,-2,1,-1,-2,-2,0
"258","South","female","35-44",0,0,-1,1,1,1,0,1,0,-2,-2,-1,-1,-2,-1,-1,-1,0,-1,0,NA,0,0,0,-2,-1,1
"259","South","female","35-44",2,2,0,1,1,0,-1,1,0,-2,-1,-2,-1,-2,-1,-1,0,0,0,1,-2,-2,-1,-1,-2,0,-1
"260","North","female","35-44",1,1,0,0,1,0,0,1,0,-1,0,-1,-1,-2,-1,-1,0,0,1,0,-1,1,-2,-1,0,-1,-1
"261","Center","female","35-44",0,0,0,NA,NA,0,NA,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,-2,1,0,-2,NA,0
"262","North","female","35-44",0,1,0,1,1,0,0,1,0,-2,-1,-2,-2,-2,-2,-2,0,NA,0,1,-2,-2,-1,-2,1,-1,-1
"263","Center","female","35-44",0,1,-2,-1,-1,-2,-1,1,0,1,1,-1,-1,-2,-1,-2,-2,-1,-2,0,0,-2,1,-1,1,1,-1
"264","Center","male","35-44",0,0,-1,1,1,0,-2,1,1,-2,-1,-1,1,-2,1,-1,1,1,-2,-2,-1,-2,0,-1,1,-1,-1
"265","Center","male","35-44",1,1,0,1,1,0,-1,1,0,0,0,-1,0,0,-1,0,1,0,NA,1,-2,-2,-1,-1,-2,-1,0
"266","South","female","35-44",0,1,-2,0,1,-1,-2,-1,0,-1,-1,-1,-1,-2,0,NA,-1,0,0,-2,-2,-2,1,-1,-1,-2,-1
"267","Center","female","35-44",1,-2,-1,1,1,0,-1,1,1,-1,0,-2,-1,-2,0,0,-1,-1,-2,1,0,-2,1,-1,1,0,-1
"268","South","female","35-44",1,1,0,1,1,0,0,1,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1,1,1,-2,-2,1,-2,-1,-1,-1
"269","North","female","35-44",0,1,0,0,1,-2,-1,1,-1,-1,-1,-1,1,-2,0,0,-1,1,1,0,-2,-1,1,-1,1,-2,1
"270","Tel Aviv","female","35-44",-2,2,-2,0,0,-1,0,-2,0,0,0,0,1,0,1,0,1,1,-2,-2,0,1,-2,1,1,0,1
"271","Center","female","35-44",0,1,-2,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,1,-1,-1,0,NA,0,-1,0
"272","North","female","35-44",-2,0,-1,1,-1,0,-2,1,1,0,0,0,1,-2,1,1,1,0,0,1,0,-2,1,1,1,-1,-1
"273","Haifa","male","35-44",0,0,-1,0,1,-2,-1,-1,0,0,-1,-1,0,-1,0,NA,1,-1,0,NA,-1,1,-2,0,0,-1,-1
"274","South","male","35-44",0,0,-1,1,1,-1,-1,-1,0,-1,-1,-1,0,-2,-1,0,0,0,0,-1,-1,-2,0,1,-1,-1,0
"275","Center","male","35-44",1,1,-1,1,0,0,-2,-1,-1,-2,0,-2,0,-1,0,0,-1,0,1,-2,-1,NA,NA,-1,-1,-1,-2
"276","Tel Aviv","male","35-44",-2,0,-2,0,-2,1,-2,0,-1,0,1,-2,1,-2,1,1,1,1,-2,-2,0,-2,1,1,1,1,NA
"277","Jerusalem","male","35-44",1,2,-1,-2,1,1,-1,-2,-1,-1,0,0,0,-1,0,1,0,0,-2,-1,-2,-2,1,1,1,0,0
"278","North","male","35-44",0,2,-1,-1,0,0,-1,-1,0,-1,-1,1,1,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,-2,-1
"279","Center","male","35-44",1,0,0,-1,1,1,-1,1,0,-2,-1,-1,-2,-2,-2,0,1,0,-1,-2,-2,-2,0,0,-2,-2,-2
"280","Haifa","female","35-44",0,0,-2,0,1,0,NA,1,-1,-1,-1,-1,0,-2,0,0,0,0,-1,1,-1,-1,0,-2,1,-1,0
"281","Tel Aviv","male","35-44",0,1,0,1,-1,0,-2,1,1,0,-1,0,0,-1,0,0,0,0,-2,1,-2,-2,1,0,1,0,NA
"282","South","female","35-44",1,1,-1,-1,1,-2,-1,-1,0,-1,0,-2,-2,-2,0,1,-1,0,-1,0,0,-1,-1,NA,-1,-1,-1
"283","North","female","35-44",0,2,0,1,1,0,-1,0,0,-2,-1,-2,-1,-2,-1,-1,0,0,0,1,-2,0,-1,0,0,NA,NA
"284","South","male","35-44",2,1,0,1,1,0,-1,1,-1,-1,-1,-2,-1,-2,-1,-1,-1,0,0,1,-2,-2,1,-2,0,-2,-1
"285","South","female","35-44",0,1,0,0,1,0,0,1,-2,-2,0,-1,0,-2,-1,0,0,0,0,0,-1,-2,0,-1,0,-1,0
"286","North","male","35-44",0,1,-1,0,1,0,-1,0,0,-2,0,-2,0,-2,0,0,-2,0,-1,-2,0,-2,1,0,1,0,-1
"287","North","male","35-44",1,0,-1,0,0,-1,-2,1,0,-1,0,-2,1,-2,0,1,0,0,1,-2,-2,-2,1,0,0,0,1
"288","North","male","35-44",0,1,-1,1,1,0,-1,0,0,-1,-1,-2,0,-1,0,1,1,0,1,-1,-2,-2,-1,0,-1,0,1
"289","Tel Aviv","male","35-44",0,1,-1,-1,-1,-2,-2,NA,0,1,1,1,-1,-2,NA,NA,NA,NA,-1,0,-1,0,-1,1,-2,-1,NA
"290","Tel Aviv","male","35-44",1,1,0,1,1,0,-2,1,1,-2,-1,-2,-1,-2,-1,-1,0,-1,-1,1,-2,-2,-1,-1,-1,0,-1
"291","Haifa","male","35-44",-1,-1,-1,0,-1,1,1,0,0,0,0,-2,1,-2,1,1,0,0,-2,-2,0,0,1,0,1,0,1
"292","Haifa","male","35-44",0,1,0,1,0,1,0,-1,0,-1,0,-2,-1,-2,-1,1,0,-1,1,-2,-1,-1,-2,0,-1,0,-1
"293","North","female","35-44",0,0,-1,-1,-1,-1,NA,0,0,0,0,NA,0,0,0,NA,0,0,-1,1,NA,-1,0,NA,0,NA,-1
"294","Center","female","35-44",-2,2,-2,-1,0,-1,-2,-2,1,0,0,-1,0,-1,1,1,1,1,-2,1,1,-2,0,1,0,1,1
"295","Tel Aviv","male","35-44",-2,2,-2,0,-1,-1,0,0,0,0,0,-2,0,-2,0,0,0,0,-2,1,-1,0,0,0,1,0,-1
"296","Center","male","35-44",1,1,-1,-1,1,0,-2,-1,0,-2,-2,-2,-1,-2,0,0,0,0,-2,-1,-1,-1,-1,0,-1,-1,-1
"297","Center","male","35-44",1,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,-2
"298","Tel Aviv","male","35-44",1,2,-1,-1,1,-2,-2,-2,0,-1,-1,-2,0,-2,-2,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1
"299","Haifa","female","35-44",-1,0,-2,-2,1,0,-1,1,0,-2,-1,-2,0,-2,0,0,0,0,-2,-2,-1,-2,1,0,1,1,1
"300","Tel Aviv","male","35-44",0,0,-2,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,1,0,-1,0,-2,-1,1,-2,-1,-1,0,-1
"301","Center","female","35-44",1,1,0,0,0,0,-1,-1,-1,-1,0,-2,0,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,1
"302","North","male","35-44",-2,0,-2,-1,1,-1,-2,1,0,1,-1,-1,1,-2,1,1,1,1,-2,-2,-1,-1,0,1,1,1,-1
"303","Center","female","35-44",0,1,-1,-1,1,-1,0,1,NA,NA,-1,-1,-1,-2,0,NA,NA,NA,-1,1,0,-2,1,-1,-2,-1,-1
"304","North","male","35-44",1,0,0,1,1,1,1,1,0,-1,-2,0,0,-2,0,1,0,0,-2,1,-2,-1,-1,-1,-2,0,1
"305","Tel Aviv","male","35-44",1,1,-2,1,1,0,1,-1,1,-2,-2,-2,1,-2,1,1,1,0,0,-2,-2,-2,1,1,-2,0,-1
"306","Jerusalem","male","35-44",0,1,-1,-1,0,1,1,1,0,NA,0,-2,NA,-1,-1,NA,0,NA,-1,0,NA,-2,1,NA,0,0,0
"307","Tel Aviv","male","35-44",1,1,-1,0,1,1,-1,-2,-1,-1,0,-2,0,-2,0,1,0,0,0,-2,-2,-2,0,-1,-1,-1,0
"308","North","female","35-44",-1,2,-2,1,1,-1,-1,0,0,-1,NA,0,0,-2,0,1,0,0,-2,-1,-1,-1,0,-1,-1,-2,NA
"309","Tel Aviv","female","35-44",-1,1,-2,1,0,0,-1,-2,0,NA,NA,-1,0,0,1,1,0,1,-1,-1,-2,-1,0,1,-1,-1,NA
"310","Center","male","35-44",1,1,0,1,1,0,0,-2,0,-2,-2,-2,-1,-2,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1
"311","Center","male","35-44",0,1,0,0,-1,1,-1,1,NA,-2,-2,-2,-1,-2,-1,1,1,-1,1,-2,-2,0,-2,-1,-2,-2,-2
"312","Center","female","35-44",0,0,-1,1,1,-1,0,0,0,-1,0,-1,-1,-2,0,-1,0,0,1,1,0,-1,1,0,0,-1,-1
"313","Tel Aviv","male","35-44",0,0,0,0,1,-1,-2,0,-1,-2,-1,0,-1,-1,-1,0,-1,1,1,0,-1,-1,1,-2,1,0,-1
"314","North","female","35-44",1,0,-1,1,1,0,0,0,-1,-2,-2,-2,-2,-2,-1,-1,-1,0,-1,0,-1,-2,1,-1,1,-1,0
"315","Center","female","35-44",0,0,-1,-1,1,0,-1,-1,0,0,0,-2,0,-2,-1,1,-2,-2,-1,1,0,-1,-1,0,0,-1,0
"316","Center","female","35-44",0,0,-1,-1,1,-1,-2,-1,0,-1,-1,-1,0,-1,0,0,0,0,-2,-1,-1,-1,0,1,0,-1,0
"317","Center","female","35-44",0,1,-2,1,1,0,-2,-2,-1,-2,-1,-1,0,-2,0,1,0,0,-2,-2,-2,1,-2,1,-2,-1,-1
"318","Haifa","female","35-44",0,NA,-2,0,-2,1,0,-2,1,-1,-1,-1,-1,1,-1,1,1,1,-2,-2,-1,1,-2,1,1,-1,-1
"319","Tel Aviv","female","35-44",1,0,-1,0,1,0,0,1,0,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,1,-2,-2,1,-2,1,-1,-1
"320","North","male","35-44",0,NA,-2,0,1,1,-2,1,0,0,0,-2,0,-2,-2,1,0,0,-2,1,-2,-2,1,1,1,0,0
"321","Jerusalem","female","35-44",0,2,-2,1,0,1,-1,-1,-1,-2,-1,-2,-1,-2,0,1,-1,-1,-1,1,-2,1,-2,-1,-2,-1,-1
"322","Center","male","35-44",0,1,-2,1,-1,1,-2,-2,-1,-2,-1,-1,0,-1,0,0,0,0,-1,-2,-1,1,-2,0,0,1,-1
"323","Haifa","female","35-44",1,1,0,-1,1,-2,-2,0,0,-2,-1,0,1,-2,0,-1,0,0,0,0,-1,-1,0,0,1,-1,-1
"324","Center","male","35-44",0,0,-1,0,0,1,-2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-2,-2,0,0,0,-1,NA,0
"325","Center","female","35-44",0,1,-1,0,0,-1,-1,-1,0,0,1,-2,-1,0,1,1,1,1,-2,-1,-1,-2,0,0,-1,1,1
"326","Tel Aviv","male","35-44",-1,1,-1,1,1,0,-2,-1,0,-1,0,0,0,-2,0,0,0,0,-1,0,-2,-1,0,-1,0,0,0
"327","Center","female","35-44",0,1,-1,1,1,0,-1,-1,0,-2,-1,-2,0,-2,0,1,0,0,-1,-1,-1,-1,-1,0,0,0,0
"328","Center","female","35-44",-1,1,-2,-1,0,-1,-1,-2,1,-1,-1,-2,1,-1,1,1,-1,-1,0,-1,0,-2,-1,-2,1,0,1
"329","South","female","35-44",-1,1,-2,1,1,1,-1,0,1,-1,0,-1,-1,-1,0,1,1,1,0,-1,1,-2,1,0,1,-1,1
"330","Center","female","35-44",0,0,-1,-1,0,0,-1,-2,0,-2,0,-2,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,1,0,0
"331","Tel Aviv","female","35-44",0,2,-1,1,1,-1,-1,-2,1,-1,0,NA,0,-1,0,1,-1,0,-2,-1,-1,NA,-1,0,-1,-1,-2
"332","Center","male","35-44",1,0,0,0,1,0,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-1,1,-2,0,-2,-2,-1
"333","Center","male","35-44",2,1,0,0,0,1,-1,-2,-1,-2,-1,-1,-1,-2,-1,0,0,-1,0,-1,-2,0,-1,-1,-2,-1,-2
"334","South","male","35-44",1,2,-1,0,0,-1,-1,-1,0,-1,0,-2,0,-2,0,1,1,0,-2,1,-2,-2,1,-1,1,-1,1
"335","Tel Aviv","male","35-44",1,1,0,0,0,0,-2,-1,1,0,0,-1,-1,-2,0,1,1,-1,-1,0,-1,-1,-2,-1,1,-1,-1
"336","South","female","35-44",0,1,0,0,0,-1,-2,0,-1,1,NA,-1,-1,-1,-1,NA,NA,NA,0,-2,-2,1,-2,0,1,1,1
"337","Center","female","35-44",-1,1,-1,0,-1,-1,-1,-1,-1,-2,0,-1,0,-2,1,1,1,NA,-1,-2,-2,0,-2,-1,0,-1,NA
